Mon Oct 25 15:46:22 EDT 2021 | tT(mins):   4.79  |  f: 0 | RT(s):   9.203 | aRT(s):   6.799  maxRT(s):  15.143 | minRT(s):   3.257 
Mon Oct 25 15:46:26 EDT 2021 | tT(mins):   4.144 |  f: 0 | RT(s):   3.873 | aRT(s):   6.721  maxRT(s):  15.143 | minRT(s):   3.257 
Mon Oct 25 15:46:33 EDT 2021 | tT(mins):   4.261 |  f: 0 | RT(s):   6.948 | aRT(s):   6.728  maxRT(s):  15.143 | minRT(s):   3.257 
Mon Oct 25 15:46:41 EDT 2021 | tT(mins):   4.396 |  f: 0 | RT(s):   8.82  | aRT(s):   6.764  maxRT(s):  15.143 | minRT(s):   3.257 
Mon Oct 25 15:46:48 EDT 2021 | tT(mins):   4.512 |  f: 0 | RT(s):   6.896 | aRT(s):   6.768  maxRT(s):  15.143 | minRT(s):   3.257 
Mon Oct 25 15:46:51 EDT 2021 | tT(mins):   4.564 |  f: 0 | RT(s):   3.99  | aRT(s):   6.679  maxRT(s):  15.143 | minRT(s):   3.99  
Mon Oct 25 15:46:58 EDT 2021 | tT(mins):   4.675 |  f: 0 | RT(s):   6.636 | aRT(s):   6.679  maxRT(s):  15.143 | minRT(s):   3.99  
Mon Oct 25 15:47:05 EDT 2021 | tT(mins):   4.789 |  f: 0 | RT(s):   6.835 | aRT(s):   6.683  maxRT(s):  15.143 | minRT(s):   3.99  
Mon Oct 25 15:47:16 EDT 2021 | tT(mins):   4.983 |  f: 0 | RT(s):  11.575 | aRT(s):   6.795  maxRT(s):  15.143 | minRT(s):   3.99  
Mon Oct 25 15:47:21 EDT 2021 | tT(mins):   5.65  |  f: 0 | RT(s):   4.883 | aRT(s):   6.753  maxRT(s):  15.143 | minRT(s):   3.99  
Mon Oct 25 15:47:30 EDT 2021 | tT(mins):   5.211 |  f: 0 | RT(s):   8.712 | aRT(s):   6.797  maxRT(s):  15.143 | minRT(s):   3.99  
Mon Oct 25 15:47:37 EDT 2021 | tT(mins):   5.331 |  f: 0 | RT(s):   7.192 | aRT(s):   6.806  maxRT(s):  15.143 | minRT(s):   3.99  
Mon Oct 25 15:47:41 EDT 2021 | tT(mins):   5.389 |  f: 0 | RT(s):   3.430 | aRT(s):   6.736  maxRT(s):  15.143 | minRT(s):   3.99  
Mon Oct 25 15:47:44 EDT 2021 | tT(mins):   5.437 |  f: 0 | RT(s):   2.882 | aRT(s):   6.658  maxRT(s):  15.143 | minRT(s):   2.882 
Mon Oct 25 15:47:51 EDT 2021 | tT(mins):   5.569 |  f: 0 | RT(s):   7.875 | aRT(s):   6.683  maxRT(s):  15.143 | minRT(s):   2.882 
Mon Oct 25 15:47:59 EDT 2021 | tT(mins):   5.692 |  f: 0 | RT(s):   7.347 | aRT(s):   6.697  maxRT(s):  15.143 | minRT(s):   2.882 
Mon Oct 25 15:48:04 EDT 2021 | tT(mins):   5.787 |  f: 0 | RT(s):   5.638 | aRT(s):   6.677  maxRT(s):  15.143 | minRT(s):   2.882 
Mon Oct 25 15:48:09 EDT 2021 | tT(mins):   5.866 |  f: 0 | RT(s):   4.699 | aRT(s):   6.640  maxRT(s):  15.143 | minRT(s):   2.882 
Mon Oct 25 15:48:18 EDT 2021 | tT(mins):   6.15  |  f: 0 | RT(s):   8.942 | aRT(s):   6.684  maxRT(s):  15.143 | minRT(s):   2.882 
Mon Oct 25 15:48:23 EDT 2021 | tT(mins):   6.97  |  f: 0 | RT(s):   4.845 | aRT(s):   6.651  maxRT(s):  15.143 | minRT(s):   2.882 
Mon Oct 25 15:48:27 EDT 2021 | tT(mins):   6.160 |  f: 0 | RT(s):   3.748 | aRT(s):   6.600  maxRT(s):  15.143 | minRT(s):   2.882 
Mon Oct 25 15:48:36 EDT 2021 | tT(mins):   6.318 |  f: 0 | RT(s):   9.477 | aRT(s):   6.651  maxRT(s):  15.143 | minRT(s):   2.882 
Mon Oct 25 15:48:43 EDT 2021 | tT(mins):   6.432 |  f: 0 | RT(s):   6.834 | aRT(s):   6.654  maxRT(s):  15.143 | minRT(s):   2.882 
Mon Oct 25 15:48:50 EDT 2021 | tT(mins):   6.546 |  f: 0 | RT(s):   6.810 | aRT(s):   6.657  maxRT(s):  15.143 | minRT(s):   2.882 
Mon Oct 25 15:48:59 EDT 2021 | tT(mins):   6.700 |  f: 0 | RT(s):   9.159 | aRT(s):   6.700  maxRT(s):  15.143 | minRT(s):   2.882 
Mon Oct 25 15:49:04 EDT 2021 | tT(mins):   6.784 |  f: 0 | RT(s):   5.35  | aRT(s):   6.673  maxRT(s):  15.143 | minRT(s):   2.882 
Mon Oct 25 15:49:09 EDT 2021 | tT(mins):   6.860 |  f: 0 | RT(s):   4.542 | aRT(s):   6.639  maxRT(s):  15.143 | minRT(s):   2.882 
Mon Oct 25 15:49:14 EDT 2021 | tT(mins):   6.940 |  f: 0 | RT(s):   4.722 | aRT(s):   6.609  maxRT(s):  15.143 | minRT(s):   2.882 
Mon Oct 25 15:49:21 EDT 2021 | tT(mins):   7.69  |  f: 0 | RT(s):   7.718 | aRT(s):   6.627  maxRT(s):  15.143 | minRT(s):   2.882 
Mon Oct 25 15:49:26 EDT 2021 | tT(mins):   7.149 |  f: 0 | RT(s):   4.756 | aRT(s):   6.599  maxRT(s):  15.143 | minRT(s):   2.882 
Mon Oct 25 15:49:38 EDT 2021 | tT(mins):   7.337 |  f: 0 | RT(s):  11.294 | aRT(s):   6.670  maxRT(s):  15.143 | minRT(s):   2.882 
Mon Oct 25 15:49:44 EDT 2021 | tT(mins):   7.448 |  f: 0 | RT(s):   6.605 | aRT(s):   6.670  maxRT(s):  15.143 | minRT(s):   2.882 
Mon Oct 25 15:49:47 EDT 2021 | tT(mins):   7.493 |  f: 0 | RT(s):   2.647 | aRT(s):   6.611  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:49:50 EDT 2021 | tT(mins):   7.542 |  f: 0 | RT(s):   2.929 | aRT(s):   6.558  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:49:59 EDT 2021 | tT(mins):   7.689 |  f: 0 | RT(s):   8.763 | aRT(s):   6.590  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:50:06 EDT 2021 | tT(mins):   7.814 |  f: 0 | RT(s):   7.462 | aRT(s):   6.603  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:50:15 EDT 2021 | tT(mins):   7.958 |  f: 0 | RT(s):   8.612 | aRT(s):   6.631  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:50:19 EDT 2021 | tT(mins):   8.23  |  f: 0 | RT(s):   3.874 | aRT(s):   6.594  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:50:28 EDT 2021 | tT(mins):   8.187 |  f: 0 | RT(s):   9.809 | aRT(s):   6.638  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:50:33 EDT 2021 | tT(mins):   8.258 |  f: 0 | RT(s):   4.221 | aRT(s):   6.606  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:50:40 EDT 2021 | tT(mins):   8.375 |  f: 0 | RT(s):   6.980 | aRT(s):   6.611  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:50:48 EDT 2021 | tT(mins):   8.514 |  f: 0 | RT(s):   8.358 | aRT(s):   6.635  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:50:52 EDT 2021 | tT(mins):   8.583 |  f: 0 | RT(s):   4.84  | aRT(s):   6.602  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:51:01 EDT 2021 | tT(mins):   8.737 |  f: 0 | RT(s):   9.169 | aRT(s):   6.635  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:51:07 EDT 2021 | tT(mins):   8.831 |  f: 0 | RT(s):   5.627 | aRT(s):   6.623  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:51:18 EDT 2021 | tT(mins):   9.12  |  f: 0 | RT(s):  10.811 | aRT(s):   6.675  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:51:32 EDT 2021 | tT(mins):   9.253 |  f: 0 | RT(s):  14.428 | aRT(s):   6.770  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:51:36 EDT 2021 | tT(mins):   9.316 |  f: 0 | RT(s):   3.797 | aRT(s):   6.735  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:51:44 EDT 2021 | tT(mins):   9.439 |  f: 0 | RT(s):   7.341 | aRT(s):   6.742  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:51:48 EDT 2021 | tT(mins):   9.518 |  f: 0 | RT(s):   4.678 | aRT(s):   6.718  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:51:53 EDT 2021 | tT(mins):   9.603 |  f: 0 | RT(s):   5.75  | aRT(s):   6.700  maxRT(s):  15.143 | minRT(s):   2.647 
