Sun Nov 14 20:16:25 EST 2021 | tT(mins):   4.425 |  f: 0 | RT(s):   7.495 | aRT(s):   7.176  maxRT(s):  12.483 | minRT(s):   2.839 
Sun Nov 14 20:16:33 EST 2021 | tT(mins):   4.565 |  f: 0 | RT(s):   8.319 | aRT(s):   7.208  maxRT(s):  12.483 | minRT(s):   2.839 
Sun Nov 14 20:16:43 EST 2021 | tT(mins):   4.718 |  f: 0 | RT(s):   9.91  | aRT(s):   7.259  maxRT(s):  12.483 | minRT(s):   2.839 
Sun Nov 14 20:16:46 EST 2021 | tT(mins):   4.779 |  f: 0 | RT(s):   3.579 | aRT(s):   7.168  maxRT(s):  12.483 | minRT(s):   2.839 
Sun Nov 14 20:16:49 EST 2021 | tT(mins):   4.825 |  f: 0 | RT(s):   2.674 | aRT(s):   7.61   maxRT(s):  12.483 | minRT(s):   2.674 
Sun Nov 14 20:16:57 EST 2021 | tT(mins):   4.954 |  f: 0 | RT(s):   7.660 | aRT(s):   7.77   maxRT(s):  12.483 | minRT(s):   2.674 
Sun Nov 14 20:17:03 EST 2021 | tT(mins):   5.56  |  f: 0 | RT(s):   6.64  | aRT(s):   7.55   maxRT(s):  12.483 | minRT(s):   2.674 
Sun Nov 14 20:17:06 EST 2021 | tT(mins):   5.112 |  f: 0 | RT(s):   3.305 | aRT(s):   6.971  maxRT(s):  12.483 | minRT(s):   2.674 
Sun Nov 14 20:17:11 EST 2021 | tT(mins):   5.195 |  f: 0 | RT(s):   4.894 | aRT(s):   6.926  maxRT(s):  12.483 | minRT(s):   2.674 
Sun Nov 14 20:17:21 EST 2021 | tT(mins):   5.350 |  f: 0 | RT(s):   9.277 | aRT(s):   6.979  maxRT(s):  12.483 | minRT(s):   2.674 
Sun Nov 14 20:17:25 EST 2021 | tT(mins):   5.430 |  f: 0 | RT(s):   4.698 | aRT(s):   6.932  maxRT(s):  12.483 | minRT(s):   2.674 
Sun Nov 14 20:17:32 EST 2021 | tT(mins):   5.547 |  f: 0 | RT(s):   6.972 | aRT(s):   6.934  maxRT(s):  12.483 | minRT(s):   2.674 
Sun Nov 14 20:17:36 EST 2021 | tT(mins):   5.606 |  f: 0 | RT(s):   3.483 | aRT(s):   6.865  maxRT(s):  12.483 | minRT(s):   2.674 
